rank,user,MA-RAE,R2,Spearman R,Kendall's Tau,submission time,model details
23,Universal0,0.63 +/- 0.03,0.51 +/- 0.04,0.73 +/- 0.02,0.55 +/- 0.02,2025-11-16 16:32:02+00:00,https://baseline model0
24,VVDCompChem,0.63 +/- 0.03,0.50 +/- 0.04,0.73 +/- 0.02,0.56 +/- 0.02,2025-11-13 23:49:21+00:00,
25,neeravkaushal,0.64 +/- 0.03,0.50 +/- 0.04,0.74 +/- 0.02,0.56 +/- 0.02,2025-12-01 21:28:29+00:00,
26,dodo_fX,0.64 +/- 0.02,0.50 +/- 0.04,0.75 +/- 0.02,0.57 +/- 0.02,2025-12-01 20:40:13+00:00,
27,JacksonBurns,0.64 +/- 0.03,0.49 +/- 0.04,0.72 +/- 0.02,0.54 +/- 0.02,2025-11-10 04:38:58+00:00,https://github.com/JacksonBurns/xrx_prf/tree/a6becefa1b0e68e7c3d0da6c6ca1bd2dd08035dc
28,kaushal-mind-lab,0.65 +/- 0.03,0.48 +/- 0.04,0.74 +/- 0.02,0.56 +/- 0.02,2025-12-03 17:35:12+00:00,
29,KagakuData,0.65 +/- 0.02,0.49 +/- 0.04,0.71 +/- 0.02,0.53 +/- 0.02,2025-12-01 03:45:30+00:00,https://github.com/KagakuAI/QSARcons
30,shrika-jeannie,0.65 +/- 0.03,0.49 +/- 0.04,0.73 +/- 0.02,0.55 +/- 0.02,2025-11-10 06:13:34+00:00,
31,AussieAussieAussie,0.65 +/- 0.03,0.47 +/- 0.04,0.72 +/- 0.02,0.54 +/- 0.02,2025-12-05 05:03:23+00:00,
32,WakuwakuADMET,0.66 +/- 0.03,0.47 +/- 0.04,0.72 +/- 0.03,0.54 +/- 0.02,2025-11-28 06:52:07+00:00,
33,pedal,0.66 +/- 0.03,0.49 +/- 0.04,0.72 +/- 0.02,0.54 +/- 0.02,2025-11-10 16:04:43+00:00,
34,mmahmedEG,0.66 +/- 0.03,0.49 +/- 0.04,0.74 +/- 0.02,0.56 +/- 0.02,2025-12-05 02:17:23+00:00,
35,mmahmedHF,0.66 +/- 0.03,0.49 +/- 0.04,0.75 +/- 0.02,0.57 +/- 0.02,2025-12-05 16:16:38+00:00,
36,m0vcqv8w,0.66 +/- 0.03,0.48 +/- 0.04,0.76 +/- 0.02,0.58 +/- 0.02,2025-12-04 20:59:37+00:00,
37,icedchai,0.66 +/- 0.03,0.47 +/- 0.04,0.72 +/- 0.02,0.54 +/- 0.02,2025-11-10 15:28:18+00:00,
38,mmahmed,0.66 +/- 0.03,0.45 +/- 0.04,0.76 +/- 0.02,0.58 +/- 0.02,2025-12-05 15:57:32+00:00,
39,rez3vil,0.67 +/- 0.03,0.45 +/- 0.04,0.69 +/- 0.03,0.51 +/- 0.02,2025-11-14 19:08:28+00:00,
40,molairity,0.67 +/- 0.03,0.49 +/- 0.03,0.74 +/- 0.02,0.56 +/- 0.02,2025-12-05 16:46:11+00:00,
41,jmi25,0.68 +/- 0.03,0.46 +/- 0.04,0.69 +/- 0.03,0.51 +/- 0.02,2025-11-09 19:50:53+00:00,
42,b-sharp,0.68 +/- 0.03,0.44 +/- 0.04,0.72 +/- 0.02,0.54 +/- 0.02,2025-12-01 09:42:28+00:00,
43,snowflake,0.69 +/- 0.03,0.44 +/- 0.04,0.70 +/- 0.03,0.52 +/- 0.02,2025-11-11 15:38:13+00:00,
44,tiuel,0.69 +/- 0.03,0.44 +/- 0.04,0.68 +/- 0.03,0.51 +/- 0.02,2025-12-03 21:00:32+00:00,
45,bariorbolrin,0.69 +/- 0.03,0.40 +/- 0.04,0.66 +/- 0.03,0.49 +/- 0.02,2025-11-14 10:26:37+00:00,
46,minzina-two,0.69 +/- 0.03,0.40 +/- 0.04,0.72 +/- 0.02,0.54 +/- 0.02,2025-12-03 07:23:55+00:00,
47,spellbound,0.69 +/- 0.03,0.44 +/- 0.04,0.70 +/- 0.03,0.52 +/- 0.02,2025-11-11 18:17:31+00:00,
48,vfirstevaluation,0.69 +/- 0.03,0.41 +/- 0.04,0.70 +/- 0.03,0.52 +/- 0.02,2025-12-01 19:23:35+00:00,
49,aglisman,0.69 +/- 0.03,0.44 +/- 0.04,0.74 +/- 0.02,0.56 +/- 0.02,2025-12-01 18:53:04+00:00,https://github.com/alec-glisman/OpenADMET-ExpansionRx-Blind-Challenge
50,baseline_v7,0.69 +/- 0.03,0.44 +/- 0.04,0.67 +/- 0.03,0.49 +/- 0.02,2025-11-16 00:00:32+00:00,
51,Fa987123,0.70 +/- 0.03,0.41 +/- 0.04,0.71 +/- 0.02,0.53 +/- 0.02,2025-11-03 06:31:40+00:00,
52,Roquentin99,0.70 +/- 0.03,0.39 +/- 0.04,0.69 +/- 0.02,0.52 +/- 0.02,2025-11-13 09:11:43+00:00,
53,fiesta_xxl,0.70 +/- 0.03,0.43 +/- 0.04,0.66 +/- 0.03,0.48 +/- 0.02,2025-10-29 23:05:12+00:00,
54,my-alaska,0.70 +/- 0.02,0.44 +/- 0.03,0.66 +/- 0.03,0.49 +/- 0.02,2025-11-06 12:05:36+00:00,
55,Team AIDD,0.70 +/- 0.03,0.43 +/- 0.04,0.68 +/- 0.03,0.51 +/- 0.02,2025-11-12 10:28:55+00:00,
56,jonswain,0.70 +/- 0.03,0.40 +/- 0.04,0.65 +/- 0.03,0.48 +/- 0.02,2025-11-06 05:24:42+00:00,https://github.com/jonswain/OpenADMET_ExpansionRx_Blind_Challenge
57,ebl88,0.70 +/- 0.03,0.43 +/- 0.04,0.76 +/- 0.02,0.58 +/- 0.02,2025-12-01 15:14:18+00:00,
58,xiangyan93,0.70 +/- 0.03,0.43 +/- 0.04,0.68 +/- 0.03,0.50 +/- 0.02,2025-12-04 17:03:37+00:00,
59,bionic_beaver,0.71 +/- 0.03,0.43 +/- 0.04,0.69 +/- 0.03,0.51 +/- 0.02,2025-11-11 19:02:26+00:00,
60,EGabrielle,0.71 +/- 0.03,0.43 +/- 0.04,0.68 +/- 0.03,0.51 +/- 0.02,2025-12-02 18:04:05+00:00,
61,leeherman,0.71 +/- 0.03,0.38 +/- 0.05,0.68 +/- 0.03,0.51 +/- 0.02,2025-11-16 14:19:58+00:00,
62,OneShot,0.71 +/- 0.03,0.39 +/- 0.05,0.68 +/- 0.03,0.51 +/- 0.02,2025-12-02 23:13:59+00:00,
63,wikke69,0.71 +/- 0.03,0.37 +/- 0.05,0.66 +/- 0.03,0.50 +/- 0.02,2025-12-02 01:27:11+00:00,https://TBD
64,CNMP,0.71 +/- 0.03,0.42 +/- 0.04,0.67 +/- 0.03,0.50 +/- 0.02,2025-12-02 13:41:31+00:00,
65,ch-pmlm,0.71 +/- 0.03,0.42 +/- 0.04,0.69 +/- 0.03,0.51 +/- 0.02,2025-11-07 17:42:14+00:00,
66,femisegvn,0.72 +/- 0.03,0.42 +/- 0.04,0.68 +/- 0.03,0.50 +/- 0.02,2025-12-01 23:59:17+00:00,
67,ChemTechBaron,0.72 +/- 0.03,0.35 +/- 0.04,0.64 +/- 0.03,0.47 +/- 0.02,2025-11-14 15:57:47+00:00,
68,whitead,0.72 +/- 0.03,0.38 +/- 0.04,0.67 +/- 0.03,0.49 +/- 0.02,2025-11-15 06:08:40+00:00,
69,ChemBri,0.73 +/- 0.03,0.29 +/- 0.05,0.68 +/- 0.03,0.51 +/- 0.02,2025-11-10 04:08:52+00:00,
70,Gashaw,0.73 +/- 0.03,0.34 +/- 0.05,0.66 +/- 0.03,0.48 +/- 0.02,2025-12-05 05:18:13+00:00,
71,midwestmols,0.73 +/- 0.03,0.39 +/- 0.04,0.64 +/- 0.03,0.47 +/- 0.02,2025-11-07 19:43:44+00:00,
72,speller,0.73 +/- 0.03,0.39 +/- 0.04,0.66 +/- 0.03,0.49 +/- 0.02,2025-11-11 15:14:12+00:00,
73,OminousBuzzing,0.73 +/- 0.03,0.39 +/- 0.04,0.71 +/- 0.03,0.53 +/- 0.02,2025-11-24 09:33:19+00:00,
74,zpk,0.73 +/- 0.03,0.36 +/- 0.04,0.64 +/- 0.03,0.47 +/- 0.02,2025-11-20 16:19:09+00:00,
75,MolecularDescriptor,0.73 +/- 0.03,0.39 +/- 0.04,0.65 +/- 0.03,0.48 +/- 0.02,2025-11-04 18:29:11+00:00,
76,Suryavedha,0.73 +/- 0.02,0.39 +/- 0.04,0.67 +/- 0.03,0.49 +/- 0.02,2025-11-15 00:58:33+00:00,
77,Mart78,0.74 +/- 0.03,0.33 +/- 0.05,0.65 +/- 0.03,0.48 +/- 0.02,2025-11-29 17:17:07+00:00,
78,caithmac,0.74 +/- 0.03,0.39 +/- 0.04,0.66 +/- 0.03,0.49 +/- 0.02,2025-11-24 08:08:55+00:00,
79,ridge_regression,0.74 +/- 0.03,0.39 +/- 0.04,0.65 +/- 0.03,0.48 +/- 0.02,2025-11-16 12:25:32+00:00,
80,xgboost,0.74 +/- 0.03,0.39 +/- 0.04,0.65 +/- 0.03,0.48 +/- 0.02,2025-11-16 12:26:43+00:00,
81,mordred,0.74 +/- 0.03,0.38 +/- 0.04,0.66 +/- 0.03,0.49 +/- 0.02,2025-11-29 20:04:54+00:00,
82,mkruege,0.74 +/- 0.03,0.36 +/- 0.05,0.68 +/- 0.03,0.50 +/- 0.02,2025-12-03 09:55:11+00:00,https://doi.org/10.17617/3.GIKHJL
83,lic,0.74 +/- 0.02,0.38 +/- 0.03,0.66 +/- 0.03,0.48 +/- 0.02,2025-11-15 02:17:22+00:00,
84,pkzheng,0.74 +/- 0.03,0.35 +/- 0.04,0.64 +/- 0.03,0.47 +/- 0.02,2025-12-01 14:41:09+00:00,
85,tab-6,0.75 +/- 0.02,0.38 +/- 0.03,0.66 +/- 0.03,0.49 +/- 0.02,2025-12-05 08:54:03+00:00,
86,all the assays,0.75 +/- 0.02,0.35 +/- 0.04,0.69 +/- 0.03,0.51 +/- 0.02,2025-11-12 19:36:26+00:00,
87,Jastok,0.75 +/- 0.02,0.35 +/- 0.03,0.64 +/- 0.03,0.47 +/- 0.02,2025-10-28 15:58:03+00:00,
88,roshkjr,0.75 +/- 0.03,0.31 +/- 0.04,0.64 +/- 0.03,0.47 +/- 0.02,2025-11-29 22:15:30+00:00,
89,KagakuAI,0.75 +/- 0.03,0.32 +/- 0.04,0.61 +/- 0.03,0.44 +/- 0.02,2025-11-11 08:43:38+00:00,
90,testingv7,0.75 +/- 0.03,0.31 +/- 0.05,0.62 +/- 0.03,0.45 +/- 0.02,2025-10-31 23:38:52+00:00,
91,neural_kataifi,0.76 +/- 0.03,0.28 +/- 0.06,0.67 +/- 0.03,0.50 +/- 0.02,2025-12-05 13:56:58+00:00,
92,zero,0.76 +/- 0.03,0.36 +/- 0.04,0.62 +/- 0.03,0.45 +/- 0.02,2025-11-01 18:28:54+00:00,
93,minzina-att,0.76 +/- 0.03,0.24 +/- 0.05,0.67 +/- 0.03,0.50 +/- 0.02,2025-12-04 12:54:30+00:00,
94,srkarra,0.76 +/- 0.03,0.36 +/- 0.04,0.62 +/- 0.03,0.45 +/- 0.02,2025-11-14 18:20:28+00:00,
95,hmacdope,0.76 +/- 0.03,0.36 +/- 0.04,0.62 +/- 0.03,0.45 +/- 0.02,2025-11-18 18:44:46+00:00,
96,hmacdope3,0.76 +/- 0.03,0.36 +/- 0.04,0.62 +/- 0.03,0.45 +/- 0.02,2025-11-08 23:35:29+00:00,
97,shedit-OpenADMET,0.76 +/- 0.03,0.34 +/- 0.04,0.62 +/- 0.03,0.45 +/- 0.02,2025-11-04 20:11:22+00:00,
98,shin-chan,0.76 +/- 0.03,0.36 +/- 0.05,0.75 +/- 0.02,0.57 +/- 0.02,2025-12-05 12:17:49+00:00,
99,irriok,0.76 +/- 0.03,0.26 +/- 0.06,0.66 +/- 0.03,0.49 +/- 0.02,2025-11-07 09:29:51+00:00,
100,SimuRaiden,0.77 +/- 0.03,0.31 +/- 0.04,0.62 +/- 0.03,0.46 +/- 0.02,2025-10-30 15:04:34+00:00,
101,pg,0.77 +/- 0.03,0.32 +/- 0.05,0.63 +/- 0.03,0.46 +/- 0.02,2025-11-11 22:25:09+00:00,
102,cc54,0.77 +/- 0.03,0.25 +/- 0.06,0.66 +/- 0.03,0.49 +/- 0.02,2025-11-27 07:06:49+00:00,
103,diliadis,0.77 +/- 0.03,0.29 +/- 0.05,0.65 +/- 0.03,0.47 +/- 0.02,2025-11-25 15:44:57+00:00,
104,simple rf baseline,0.78 +/- 0.03,0.33 +/- 0.04,0.61 +/- 0.03,0.44 +/- 0.02,2025-10-31 14:18:48+00:00,
105,hectavalent,0.78 +/- 0.03,0.29 +/- 0.04,0.57 +/- 0.03,0.41 +/- 0.03,2025-12-01 21:52:56+00:00,
106,imikezhu,0.78 +/- 0.03,0.28 +/- 0.05,0.60 +/- 0.03,0.44 +/- 0.02,2025-11-12 00:03:04+00:00,
107,Cuiyaning,0.78 +/- 0.03,0.24 +/- 0.05,0.66 +/- 0.03,0.48 +/- 0.02,2025-11-18 02:53:42+00:00,
108,TERRA,0.78 +/- 0.03,0.27 +/- 0.05,0.61 +/- 0.03,0.44 +/- 0.02,2025-11-09 07:59:07+00:00,
109,snowball1,0.79 +/- 0.03,0.24 +/- 0.06,0.64 +/- 0.03,0.46 +/- 0.02,2025-12-05 16:03:50+00:00,
110,paulo,0.79 +/- 0.03,0.26 +/- 0.05,0.62 +/- 0.03,0.45 +/- 0.02,2025-12-01 23:01:43+00:00,
111,admetchallenger,0.79 +/- 0.03,0.23 +/- 0.05,0.57 +/- 0.03,0.41 +/- 0.02,2025-11-14 00:46:45+00:00,
112,maxime1310,0.79 +/- 0.03,0.29 +/- 0.04,0.59 +/- 0.03,0.42 +/- 0.02,2025-11-30 22:49:02+00:00,
113,mmahmedHFG,0.80 +/- 0.02,0.27 +/- 0.04,0.62 +/- 0.03,0.45 +/- 0.02,2025-12-04 23:09:32+00:00,
114,AFP_FF_1_ensemble,0.80 +/- 0.03,0.26 +/- 0.05,0.59 +/- 0.03,0.43 +/- 0.02,2025-11-11 20:24:08+00:00,
115,maxime1,0.80 +/- 0.03,0.27 +/- 0.04,0.58 +/- 0.03,0.42 +/- 0.02,2025-11-25 22:50:20+00:00,
116,malteny,0.80 +/- 0.03,0.17 +/- 0.06,0.65 +/- 0.03,0.48 +/- 0.02,2025-11-02 15:18:06+00:00,
117,eightmm,0.80 +/- 0.03,0.22 +/- 0.05,0.65 +/- 0.03,0.48 +/- 0.02,2025-11-11 03:50:28+00:00,
118,AStaniszewski,0.82 +/- 0.03,0.20 +/- 0.05,0.59 +/- 0.03,0.42 +/- 0.02,2025-11-03 16:23:41+00:00,
119,snowtester,0.82 +/- 0.03,0.21 +/- 0.05,0.58 +/- 0.03,0.41 +/- 0.02,2025-11-11 17:15:46+00:00,
120,lherman,0.82 +/- 0.04,0.14 +/- 0.06,0.61 +/- 0.03,0.45 +/- 0.02,2025-11-11 23:02:31+00:00,
121,minzina-attention,0.83 +/- 0.03,0.15 +/- 0.06,0.56 +/- 0.03,0.40 +/- 0.02,2025-12-04 02:14:30+00:00,
122,Mohitlikestocode,0.84 +/- 0.03,0.16 +/- 0.05,0.54 +/- 0.03,0.38 +/- 0.03,2025-11-23 06:27:30+00:00,
123,jasonlin90125,0.85 +/- 0.03,0.13 +/- 0.05,0.53 +/- 0.03,0.38 +/- 0.03,2025-11-18 20:42:06+00:00,
124,chundu05,0.88 +/- 0.04,-0.06 +/- 0.09,0.58 +/- 0.03,0.42 +/- 0.02,2025-11-21 08:15:12+00:00,
125,DrSmith,0.90 +/- 0.03,-0.00 +/- 0.06,0.49 +/- 0.04,0.35 +/- 0.03,2025-11-20 22:21:55+00:00,
126,ProtonSci,0.90 +/- 0.04,0.04 +/- 0.06,0.53 +/- 0.03,0.37 +/- 0.03,2025-12-01 17:23:37+00:00,
127,morgul,0.91 +/- 0.03,0.01 +/- 0.06,0.50 +/- 0.04,0.35 +/- 0.03,2025-11-04 21:44:02+00:00,
128,NHRI_MTForestNet_L4_MAE,0.91 +/- 0.03,0.01 +/- 0.05,0.49 +/- 0.04,0.34 +/- 0.03,2025-11-18 08:09:24+00:00,
129,NHRI_MTForestNet_L3_MAE,0.92 +/- 0.03,0.00 +/- 0.05,0.49 +/- 0.03,0.34 +/- 0.03,2025-11-18 08:06:59+00:00,
130,emsciage,0.93 +/- 0.04,-0.22 +/- 0.11,0.63 +/- 0.03,0.47 +/- 0.02,2025-11-09 01:57:24+00:00,
131,NHRI_MTForestNet_L2_MAE,0.94 +/- 0.03,-0.04 +/- 0.05,0.47 +/- 0.04,0.33 +/- 0.03,2025-11-18 08:02:57+00:00,
132,NHRI_MTForestNet_L2_MAE_round1,0.94 +/- 0.03,-0.04 +/- 0.05,0.47 +/- 0.04,0.33 +/- 0.03,2025-11-18 08:14:01+00:00,
133,TheMysteryMan,0.96 +/- 0.04,-0.12 +/- 0.07,0.43 +/- 0.04,0.30 +/- 0.03,2025-10-31 16:03:14+00:00,
134,trydemo2,0.96 +/- 0.04,-0.32 +/- 0.11,0.59 +/- 0.03,0.43 +/- 0.02,2025-11-16 07:26:21+00:00,
135,iCsmiles,0.97 +/- 0.04,-0.18 +/- 0.09,0.45 +/- 0.04,0.32 +/- 0.03,2025-11-29 21:19:07+00:00,
136,Discoverybytes,0.98 +/- 0.04,-0.13 +/- 0.09,0.46 +/- 0.04,0.33 +/- 0.03,2025-12-01 18:02:37+00:00,
137,thmtt,1.00 +/- 0.04,-0.16 +/- 0.06,0.35 +/- 0.04,0.25 +/- 0.03,2025-11-04 23:46:56+00:00,
138,ld502,1.06 +/- 0.02,-0.20 +/- 0.03,0.51 +/- 0.02,0.36 +/- 0.02,2025-11-20 04:31:57+00:00,
139,openadmet-dummy,1.08 +/- 0.02,-0.20 +/- 0.03,nan +/- nan,nan +/- nan,2025-10-23 18:47:43+00:00,
140,kgpl1,1.12 +/- 0.03,-0.28 +/- 0.04,0.10 +/- 0.04,0.07 +/- 0.03,2025-12-03 10:11:53+00:00,
141,phazer,1.12 +/- 0.03,-0.39 +/- 0.06,0.21 +/- 0.04,0.14 +/- 0.03,2025-11-01 21:00:59+00:00,
142,nhkhiem1998,1.15 +/- 0.05,-0.88 +/- 0.13,0.54 +/- 0.03,0.41 +/- 0.02,2025-11-13 15:35:49+00:00,
143,KyNguyen,1.20 +/- 0.04,-0.62 +/- 0.07,0.24 +/- 0.04,0.16 +/- 0.03,2025-11-22 05:14:35+00:00,
144,baseline_v2,1.32 +/- 0.04,-0.72 +/- 0.09,0.26 +/- 0.04,0.18 +/- 0.03,2025-11-15 19:40:44+00:00,
145,anon1234,1.35 +/- 0.05,-1.05 +/- 0.12,0.44 +/- 0.03,0.32 +/- 0.02,2025-11-28 23:21:13+00:00,
146,rabbit,1.57 +/- 0.07,-2.04 +/- 0.19,0.68 +/- 0.02,0.51 +/- 0.02,2025-12-05 06:30:43+00:00,
147,DMakarov,1.58 +/- 0.07,-2.07 +/- 0.20,0.65 +/- 0.02,0.49 +/- 0.02,2025-11-25 20:15:56+00:00,
148,DMak,1.61 +/- 0.07,-2.09 +/- 0.20,0.65 +/- 0.02,0.48 +/- 0.02,2025-11-14 13:02:30+00:00,
149,bobek,2.10 +/- 0.08,-3.33 +/- 0.26,0.50 +/- 0.03,0.34 +/- 0.03,2025-11-25 14:18:07+00:00,
150,rhlin1023,2.10 +/- 0.09,-3.19 +/- 0.28,0.57 +/- 0.03,0.42 +/- 0.03,2025-11-23 13:47:53+00:00,
151,clocktower,2.43 +/- 0.10,-4.83 +/- 0.40,0.74 +/- 0.02,0.56 +/- 0.02,2025-12-04 18:20:35+00:00,
152,clocktower2,2.44 +/- 0.10,-4.83 +/- 0.40,0.72 +/- 0.02,0.54 +/- 0.02,2025-12-02 07:06:29+00:00,
153,wigu,2.55 +/- 0.11,-5.16 +/- 0.41,0.83 +/- 0.01,0.68 +/- 0.01,2025-11-19 18:15:01+00:00,
154,rabbit,2.55 +/- 0.11,-5.15 +/- 0.41,0.85 +/- 0.01,0.67 +/- 0.01,2025-11-28 00:48:11+00:00,
155,vaishnavi53,2.56 +/- 0.11,-5.16 +/- 0.41,0.78 +/- 0.02,0.61 +/- 0.01,2025-12-05 06:41:23+00:00,
156,GNandini10,2.56 +/- 0.11,-5.16 +/- 0.41,0.79 +/- 0.01,0.63 +/- 0.01,2025-12-05 09:17:09+00:00,
157,vgny,2.56 +/- 0.11,-5.16 +/- 0.41,0.79 +/- 0.01,0.62 +/- 0.01,2025-12-05 10:09:08+00:00,
158,Nandini102002,2.56 +/- 0.11,-5.17 +/- 0.41,0.77 +/- 0.02,0.60 +/- 0.01,2025-12-04 11:35:21+00:00,
159,vyshu54,2.57 +/- 0.11,-5.18 +/- 0.41,0.73 +/- 0.02,0.57 +/- 0.02,2025-11-27 07:57:35+00:00,
160,egeorge14,2.57 +/- 0.11,-5.17 +/- 0.41,0.71 +/- 0.02,0.53 +/- 0.01,2025-12-01 20:28:27+00:00,
161,nicasio-rf,2.58 +/- 0.11,-5.18 +/- 0.41,0.68 +/- 0.02,0.50 +/- 0.02,2025-12-04 17:21:29+00:00,
162,vaishu53,2.59 +/- 0.11,-5.20 +/- 0.41,0.53 +/- 0.02,0.38 +/- 0.02,2025-12-01 04:53:00+00:00,
163,lic90476,2.61 +/- 0.11,-5.23 +/- 0.41,0.43 +/- 0.03,0.30 +/- 0.02,2025-12-04 03:18:32+00:00,
164,mopac79,2.64 +/- 0.11,-5.28 +/- 0.41,0.71 +/- 0.02,0.53 +/- 0.02,2025-12-02 09:58:02+00:00,
165,NHRI_MTForestNet_3,2.65 +/- 0.10,-5.01 +/- 0.39,0.47 +/- 0.03,0.34 +/- 0.03,2025-11-17 05:41:27+00:00,
166,NHRI_MTForestNet_4,2.65 +/- 0.10,-5.01 +/- 0.39,0.47 +/- 0.03,0.34 +/- 0.03,2025-11-17 05:42:27+00:00,
167,rhlin,2.66 +/- 0.10,-5.03 +/- 0.39,0.48 +/- 0.03,0.35 +/- 0.03,2025-11-17 05:12:33+00:00,https://MTForestNet
